# RA DEC 
52.6717783 -28.7833534 
52.0043744 -28.7167335 
52.9378872 -28.5466206 
53.4066073 -28.5335395 
52.6168697 -28.472459 
52.8360157 -28.4663887 
53.2747786 -28.4164498 
53.3102176 -28.3971704 
52.9055917 -28.3700084 
52.8150227 -28.3219834 
53.260685 -28.3167778 
53.4699663 -28.2942144 
53.5194822 -28.2776494 
51.980679 -28.2362704 
52.3931689 -28.228757 
51.8437086 -28.2072336 
53.6909344 -28.2034622 
52.3624474 -28.1701217 
52.5748109 -28.1331801 
52.9449884 -28.0663786 
53.3867101 -27.9998147 
52.6603021 -27.9953107 
52.5393413 -27.8189347 
52.8716314 -27.8167036 
53.1553221 -27.8152761 
52.484851 -27.7562513 
52.0334538 -27.7417559 
52.3777641 -27.7173638 
52.4144015 -27.6658469 
52.9183917 -27.6425067 
53.1455202 -27.5862215 
52.7869636 -27.4183096 
