# RA DEC 
357.4495428 -31.7697682 
356.8646545 -31.7604785 
357.0926958 -31.6315685 
357.0711837 -31.5052617 
357.0633613 -31.5004546 
357.4401839 -31.4360717 
357.2279814 -31.4051138 
356.5991417 -31.3982996 
356.7253755 -31.3487171 
356.3433154 -31.327882 
356.9902724 -31.329371 
357.654289 -31.3081306 
356.4486756 -31.2924561 
356.911212 -31.2829518 
358.0206091 -31.2723144 
356.2139177 -31.2338277 
357.7847382 -31.1565489 
356.3700868 -31.134791 
356.0710799 -30.9935939 
357.1397285 -30.9464911 
358.1885944 -30.9283228 
357.0710262 -30.8491731 
358.1917463 -30.8374807 
356.7553838 -30.8340321 
357.4009334 -30.8278268 
356.9347573 -30.812305 
357.461134 -30.7447665 
356.359393 -30.7029732 
357.9991873 -30.6851591 
357.7374158 -30.6713742 
357.1387714 -30.5986494 
357.0511111 -30.5428658 
356.209751 -30.5227097 
356.1877709 -30.5186443 
357.7044538 -30.4771255 
357.042272 -30.457439 
356.7825542 -30.4418949 
356.1536951 -30.4178974 
357.0449524 -30.4103473 
356.8039112 -30.4088134 
356.8382712 -30.3815381 
356.7770949 -30.3559397 
357.0916634 -30.3099041 
356.7074234 -30.2984132 
356.7364918 -30.2673971 
356.6231039 -30.1778795 
356.7462336 -30.1316363 
356.5789022 -30.0078588 
357.1561736 -29.8849524 
